iter	Logloss
0	0.6775474938
1	0.6634514329
2	0.6486097213
3	0.6334697261
4	0.6209910797
5	0.6076817068
6	0.5981875012
7	0.5891273671
8	0.5794000495
9	0.5709543519
10	0.563126218
11	0.5582455944
12	0.5504285861
13	0.5434963025
14	0.5365113743
15	0.52937912
16	0.5229035296
17	0.516976755
18	0.5111200923
19	0.5067855876
20	0.5019464672
21	0.4966072866
22	0.4928500894
23	0.4884168723
24	0.4845039603
25	0.4809847478
26	0.4773928269
27	0.4740439703
28	0.4703730089
29	0.4675997833
30	0.4635542597
31	0.4602378922
32	0.4569867752
33	0.452696482
34	0.4494958935
35	0.4464216722
36	0.4432599044
37	0.4393225152
38	0.4368227858
39	0.4338987363
40	0.4320774186
41	0.4289929299
42	0.4262296532
43	0.4235764359
44	0.4215198239
45	0.41896396
46	0.4175045468
47	0.4150259896
48	0.4126130073
49	0.4106946464
50	0.4078717889
51	0.4058977004
52	0.4039465162
53	0.4020645819
54	0.3990200202
55	0.3972842817
56	0.3951948562
57	0.3942662609
58	0.3927865099
59	0.3910577282
60	0.389414836
61	0.3880814863
62	0.3866282782
63	0.3848928646
64	0.3828568007
65	0.3811625091
66	0.3799477882
67	0.378814602
68	0.3773568793
69	0.3759143513
70	0.3744012069
71	0.3724800446
72	0.3711876366
73	0.3693418024
74	0.3678906084
75	0.3660054365
76	0.3647795396
77	0.3630442201
78	0.3613013914
79	0.3595424806
80	0.3581051649
81	0.357232777
82	0.3556342554
83	0.3543409052
84	0.3533668655
85	0.3524327926
86	0.3513008639
87	0.349410459
88	0.3482027137
89	0.3468489051
90	0.3457267318
91	0.3443195363
92	0.3436420748
93	0.3423794623
94	0.3413301167
95	0.34005263
96	0.339015568
97	0.337851801
98	0.3366339167
99	0.3352606903
